ags,kurz_name,wald_19_qm,sied_verk_19_qm,landwirt_19_qm,verkehr_19_qm,sied_verk_qm_ew_19
"09678123","Dittelbrunn",30.5,15.5,51.3,5.8,503
"09678128","Euerbach",17,13.4,66.9,6,761
"09678132","Geldersheim",5.3,23.9,66.6,9.9,1260
"09678135","Gochsheim",17.2,23.4,54.7,10,751
"09678136","Grafenrheinfeld",21.3,20.4,42.9,6.7,677
"09678138","Grettstadt",25.6,11.7,58.6,6,971
"09678150","Kolitzheim",9.5,11.2,76.8,5.7,1183
"09678160","Niederwerrn",0.6,32.8,63.2,10.9,387
"09678168","Poppenhausen",25.3,12.7,58.8,7.8,1139
"09678170","Röthlein",18.8,16.3,53,5.9,693
"09678174","Schonungen",44.4,10,41.5,5,1052
"09678176","Schwebheim",20.1,30,44.7,9.1,579
"09678178","Sennfeld",11,32.7,47.6,9.5,499
"09678181","Stadtlauringen, M",21.3,9.7,64.7,5.4,1511
"09678186","Üchtelhausen",48.7,8.1,40.2,5.1,1325
"09678190","Waigolshausen",7.2,11.3,78.4,6,991
"09678192","Wasserlosen",27.7,10.9,58.3,7.4,1657
"09678193","Werneck, M",11.8,14.7,70.6,7.9,1066
"09678122","Dingolshausen",5.4,12.1,78.6,5.3,932
"09678124","Donnersdorf",21.3,10.5,65.2,5.2,1434
"09678130","Frankenwinheim",10,9,78.5,4.9,1363
"09678134","Gerolzhofen, St",7.6,22.5,65.1,7.9,601
"09678153","Lülsfeld",7.8,10.7,78.7,6.3,1418
"09678157","Michelau i.Steigerwald",20.9,10.9,64.7,5.3,1387
"09678164","Oberschwarzach, M",21.7,9.8,63.9,5.4,1759
"09678183","Sulzheim",14.9,10.8,70.1,6,1432
"09678175","Schwanfeld",13.4,12.2,71.6,5.2,815
"09678196","Wipfeld",5.8,15.9,61.6,7.7,802
"09678451","Bürgerwald",95.5,3.1,1.2,3.1,0
"09678452","Geiersberg",96.2,3.8,0,3.8,0
